group_name,product_id
Acacia Gum,518
Acesulfame Potassium,208
Acesulfame Potassium,235
Acesulfame Potassium,670
Acesulfame Potassium,727
Alfalfa Leaf,846
Alginate,175
Alginate,1025
Alkalized Cocoa,212
Alkalized Cocoa Powder,673
Amino Acids,861
Aquamin,566
Aqueous Coating,792
Artificial Flavor,209
Artificial Flavor,671
Artificial Flavor,972
Artificial Sweetener,971
Artificial Sweetener,976
Artificial Sweetener,981
Astaxanthin,793
B Vitamins,221
B Vitamins,458
B Vitamins,519
B Vitamins,579
B Vitamins,794
B Vitamins,882
B Vitamins,959
Beet,317
Beet Extract,863
Beet Juice Powder,776
Benzoate,384
BHT,927
Bifidobacterium Lactis,432
Biotin,286
Biotin,580
Biotin,624
Biotin,983
Black Pepper Extract,795
Blue 2 Lake,264
Boron,734
Boron,797
Boron,847
Branched-Chain Amino Acids,409
Branched-Chain Amino Acids,705
Branched-Chain Amino Acids,706
Branched-Chain Amino Acids,707
Butylated Hydroxytoluene,337
Calcium,150
Calcium,192
Calcium,265
Calcium,287
Calcium,329
Calcium,340
Calcium,351
Calcium,397
Calcium,415
Calcium,417
Calcium,459
Calcium,460
Calcium,463
Calcium,514
Calcium,520
Calcium,569
Calcium,607
Calcium,625
Calcium,719
Calcium,777
Calcium,866
Calcium,883
Calcium,930
Calcium,984
Calcium,985
Capsule,549
Capsule Shell,605
Capsule Shell,613
Carnauba Wax,416
Carnauba Wax,522
Carnauba Wax,581
Carnauba Wax,989
Carrageenan,210
Cellulose,151
Cellulose,563
Cellulose,735
Cellulose,762
Cellulose,816
Cellulose,817
Cellulose,890
Cellulose,897
Cellulose,931
Cellulose,938
Cellulose,944
Cellulose Derivatives,341
Cellulose Derivatives,346
Cellulose Derivatives,521
Cellulose Derivatives,523
Cellulose Derivatives,525
Cellulose Derivatives,529
Cellulose Derivatives,539
Cellulose Derivatives,630
Cellulose Derivatives,636
Cellulose Derivatives,850
Cellulose Derivatives,851
Cellulose Derivatives,856
Cellulose Gum,211
Cellulose Gum,237
Cellulose Gum,672
Cellulose Gum,988
Cherry Flavor,920
Chloride,251
Chloride,288
Chloride,753
Chloride,848
Choline,164
Chromium,289
Chromium,343
Chromium,344
Chromium,345
Chromium,461
Chromium,608
Chromium,627
Chromium,933
Chromium,990
Cinnamon,198
Citrate,1017
Citrate,1026
Citric Acid,186
Citric Acid,252
Citric Acid,321
Citric Acid,328
Citric Acid,330
Citric Acid,481
Citric Acid,488
Citric Acid,524
Citric Acid,700
Citric Acid,715
Citric Acid,778
Citric Acid,867
Citric Acid,917
Citric Acid,991
Citrus Bioflavonoids,798
Coating,586
Cocoa,229
Cocoa,238
Cocoa,617
Coconut Sugar,199
Coconut Water,318
Coconut Water,701
Coenzyme Q10,799
Coenzyme Q10,884
Collagen Peptides,410
Coloring Concentrates,868
Copper,267
Copper,290
Copper,347
Copper,348
Copper,462
Copper,628
Copper,629
Copper,934
Copper,992
Corn Oil,559
Corn Oil,993
Corn Zein,740
Croscarmellose Sodium,152
Croscarmellose Sodium,268
Croscarmellose Sodium,800
Croscarmellose Sodium,994
Cultured Nutrients,885
Dextrose,714
Dextrose,996
Digestive Enzymes,411
Dipotassium Phosphate,997
Disintegrant,953
Effervescent Base,254
Energy Support Botanicals,282
Epicor Postbiotic,526
Erythritol,434
Fatty Acid,1030
Fatty Acids,859
FD&C Dyes,352
FD&C Dyes,353
FD&C Dyes,354
Fermentation Media,582
Flavor,618
Flavor,709
Flavor,716
Flavorings,322
Flavorings,332
Flavorings,686
Flavorings,1010
