product_name,price,supplier,properties,certifications,lead_days,lead_type,years_in_business,source_url
Zinc Sulfate Monohydrate Bulk 25kg,0.0211,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/zinc-sulfate-monohydrate-bulk
Quercetin Pure,0.35,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/quercetin-dihydrate-pure
L-Valine,0.0575,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/l-valine
BHB Magnesium Powder,0.0975,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""SUGAR-FREE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/bhb-magnesium
L-Lysine HCl,0.033,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/l-lysine-hcl
BHB Sodium (Beta Hydroxybutyrate) Powder Bulk,0.0438,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/bhb-sodium-beta-hydroxybutyrate-bulk
EAA (9 Essential Amino Acids) Bulk 25kg,0.0319,PureBulk,NONE,"[""NO-FILLERS"", ""PURE""]",NONE,NONE,NONE,https://purebulk.com/products/essential-amino-acids-eaa-bulk
EAA (9 Essential Amino Acids),0.0558,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""NON-ESSENTIAL"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/essential-amino-acids-eaa
Betaine Anhydrous (TMG) Powder,0.037,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""NON-RESPONDERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/betaine-anhydrous-tmg
Magnesium Ascorbate,0.1295,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/magnesium-ascorbate
