role,id,name,properties_json,certifications_json,price_value,price_unit,price_tiers_json,lead_days,lead_reliability,lead_type,supplier_rating_value,supplier_rating_reviews,defect_rate_value,defect_rate_sample,on_time_delivery_value,on_time_delivery_sample,years_in_business,audit_score_value,audit_age_months,audit_passed,moq,country_of_origin,incoterm,source_url
ORIGINAL,zinc-sulfate-monohydrate-bulk,Zinc Sulfate Monohydrate Bulk 25kg,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0211,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/zinc-sulfate-monohydrate-bulk
CANDIDATE,quercetin-dihydrate-pure,Quercetin Pure,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.35,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/quercetin-dihydrate-pure
CANDIDATE,l-valine,L-Valine,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0575,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/l-valine
CANDIDATE,bhb-magnesium,BHB Magnesium Powder,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""SUGAR-FREE"", ""VEGAN"", ""VEGETARIAN""]",0.0975,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/bhb-magnesium
CANDIDATE,l-lysine-hcl,L-Lysine HCl,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.033,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/l-lysine-hcl
CANDIDATE,bhb-sodium-beta-hydroxybutyrate-bulk,BHB Sodium (Beta Hydroxybutyrate) Powder Bulk,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0438,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/bhb-sodium-beta-hydroxybutyrate-bulk
CANDIDATE,essential-amino-acids-eaa-bulk,EAA (9 Essential Amino Acids) Bulk 25kg,{},"[""NO-FILLERS"", ""PURE""]",0.0319,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/essential-amino-acids-eaa-bulk
CANDIDATE,essential-amino-acids-eaa,EAA (9 Essential Amino Acids),{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""NON-ESSENTIAL"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0558,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/essential-amino-acids-eaa
CANDIDATE,betaine-anhydrous-tmg,Betaine Anhydrous (TMG) Powder,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""NON-RESPONDERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.037,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/betaine-anhydrous-tmg
CANDIDATE,magnesium-ascorbate,Magnesium Ascorbate,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.1295,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/magnesium-ascorbate
CANDIDATE,selenium-bulk,Selenium Bulk 10kg,{},"[""NO-FILLERS"", ""PURE""]",0.0473,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/selenium-bulk
